1_1	1	holds	1.7305238750013814
1_2	1	holds	1.4748255840004276
1_3	1	holds	1.5281753340004798
1_4	1	holds	1.4214602920001198
1_5	1	holds	1.7035446669997327
1_6	1	holds	2.0899318760002643
1_7	1	holds	1.0250862510001753
1_8	1	holds	1.0142519169985462
1_9	1	holds	0.8618248340007995
2_1	1	holds	1.3055725840004015
2_2	1	holds	2.4221127099990554
2_3	1	holds	2.010937209999611
2_4	1	holds	1.512135417000536
2_5	1	holds	2.828242252000564
2_6	1	holds	2.856555334001314
2_7	1	holds	4.856374459999643
2_8	1	holds	4.5808989190009015
2_9	1	holds	5.398763002000123
3_1	1	holds	2.961221792998913
3_2	1	holds	1.4291503339991323
3_3	1	holds	1.4600560430008045
3_4	1	holds	1.1164611259991943
3_5	1	holds	1.8795046680006635
3_6	1	holds	4.3054865850008355
3_7	1	holds	3.8189032939990284
3_8	1	holds	3.2904657939998287
3_9	1	holds	3.396455418000187
4_1	1	holds	2.304956501999186
4_2	1	holds	1.8514435840006627
4_3	1	holds	1.3108259590007947
4_4	1	holds	1.4177140000010695
4_5	1	holds	3.2105004189998
4_6	1	holds	7.353418460999819
4_7	1	holds	8.670712338000158
4_8	1	holds	4.1976067100004
4_9	1	holds	10.440137129000505
5_1	1	holds	2.3941221259992744
5_2	1	holds	2.264336710000862
5_3	1	holds	2.623895751001328
5_4	1	holds	1.8723570430011023
5_5	1	holds	1.6335958760009817
5_6	1	holds	3.542981085000065
5_7	1	holds	3.517574127001353
5_8	1	holds	2.8960980009997
5_9	1	holds	4.088354752000669
1_1	2	holds	1.7493573749998177
1_2	2	violated	1.6237783759988815
1_3	2	violated	1.855259958998431
1_4	2	violated	2.775069250999877
1_5	2	violated	1.1470517919988197
1_6	2	violated	1.380158959000255
1_7	2	holds	2.3157707519985706
1_8	2	holds	4.159476627000913
1_9	2	holds	1.438410709000891
2_1	2	violated	0.5917425839998032
2_2	2	violated	0.49693829199895845
2_3	2	violated	0.4997036670010857
2_4	2	violated	0.5171535419995053
2_5	2	violated	0.5941581669994775
2_6	2	violated	0.7341466260004381
2_7	2	violated	0.6524373339998419
2_8	2	violated	0.6229842920001829
2_9	2	violated	1.162625625000146
3_1	2	violated	0.5471368340004119
3_2	2	violated	0.6245452509992901
3_3	2	holds	13.483076423000966
3_4	2	violated	0.6483657079988916
3_5	2	violated	0.5051457499994285
3_6	2	violated	0.7584570420003729
3_7	2	violated	2.1980560009997134
3_8	2	violated	0.7413246249998338
3_9	2	violated	0.563570083999366
4_1	2	violated	0.8157476249998581
4_2	2	holds	12.675421130999894
4_3	2	violated	0.681089959000019
4_4	2	violated	0.5616506669994124
4_5	2	violated	0.5073657499997353
4_6	2	violated	0.5147802499996033
4_7	2	violated	0.561267791001228
4_8	2	violated	0.6003063749994908
4_9	2	violated	0.8958760009991238
5_1	2	violated	0.6838077499996871
5_2	2	violated	0.7575482510001166
5_3	2	violated	1.4959982929995022
5_4	2	violated	0.6356192920011381
5_5	2	violated	0.5927978340005211
5_6	2	violated	0.5693361670000741
5_7	2	violated	0.544191626000611
5_8	2	violated	0.5474720420006634
5_9	2	violated	0.5405620000001363
1_1	3	holds	0.9467849579996255
1_2	3	holds	0.8586486259991943
1_3	3	holds	0.9668830000009621
1_4	3	holds	1.3452589179996721
1_5	3	holds	1.225805625999783
1_6	3	holds	1.0643655419989955
1_7	3	violated	1.1087234999995417
1_8	3	violated	0.7638157499986846
1_9	3	violated	0.5400898329990014
2_1	3	holds	0.5870624170001975
2_2	3	holds	0.5570572079996055
2_3	3	holds	0.6783445840010245
2_4	3	holds	0.40811816699897463
2_5	3	holds	0.4703454590016918
2_6	3	holds	0.45408475099975476
2_7	3	holds	0.4660842079993017
2_8	3	holds	0.4768409589996736
2_9	3	holds	0.4062484170008247
3_1	3	holds	0.4902700829989044
3_2	3	holds	0.7047700010007247
3_3	3	holds	0.7314447090011527
3_4	3	holds	0.6048587089990178
3_5	3	holds	0.5751492499985034
3_6	3	holds	0.5397189169998455
3_7	3	holds	0.4541134589999274
3_8	3	holds	0.4749536250001256
3_9	3	holds	0.48544254199987336
4_1	3	holds	0.5321420840009523
4_2	3	holds	0.688492541999949
4_3	3	holds	0.7319802090005396
4_4	3	holds	0.4693541249998816
4_5	3	holds	0.47899566699925344
4_6	3	holds	0.5135827909998625
4_7	3	holds	0.46338058399851434
4_8	3	holds	0.4754266669988283
4_9	3	holds	0.5214649589997862
5_1	3	holds	0.6787946250005916
5_2	3	holds	0.5214297499987879
5_3	3	holds	0.5114960829996562
5_4	3	holds	0.46466262499961886
5_5	3	holds	0.4803094169983524
5_6	3	holds	0.4813711249989865
5_7	3	holds	0.40538616699996055
5_8	3	holds	0.48383920899868826
5_9	3	holds	0.4078465829989
1_1	4	holds	0.6794875830000819
1_2	4	holds	0.60899258399877
1_3	4	holds	0.5761720840000635
1_4	4	holds	0.4825696669995523
1_5	4	holds	0.5141839160005475
1_6	4	holds	0.5140536670005531
1_7	4	violated	0.4618382089993247
1_8	4	violated	0.4891182499995921
1_9	4	violated	0.47795004199906543
2_1	4	holds	0.529741083000772
2_2	4	holds	0.5183724170001369
2_3	4	holds	0.47151737499916635
2_4	4	holds	0.4937372080003115
2_5	4	holds	0.48937916699833295
2_6	4	holds	0.5077924159995746
2_7	4	holds	0.47189904199876764
2_8	4	holds	0.5093903340002726
2_9	4	holds	0.40814091700121935
3_1	4	holds	0.4935745839993615
3_2	4	holds	0.493238332999681
3_3	4	holds	0.45491883300019254
3_4	4	holds	0.47347112499846844
